lng,lat
-73.7921117173,40.6452464590
-73.7932556782,40.6441291852
-73.7943996465,40.6430117449
-73.7952993949,40.6460225540
-73.7964433911,40.6449051116
-73.7964433911,40.6449051116
-73.7975873946,40.6437875028
-73.7975873946,40.6437875028
-73.7984871406,40.6467989634
-73.7984871406,40.6467989634
-73.7984871406,40.6467989634
-73.7996311720,40.6456813525
-73.7996311720,40.6456813525
-73.8007752108,40.6445635750
-73.8007752108,40.6445635750
-73.8016749543,40.6475756875
-73.8028190209,40.6464579080
-73.8028190209,40.6464579080
-73.8037187415,40.6494705080
-73.8048628360,40.6483527265
-73.8057625337,40.6513658140
-73.8057625337,40.6513658140
-73.8057625337,40.6513658140
-73.8066621881,40.6543792245
-73.8066621881,40.6543792245
-73.8066621881,40.6543792245
-73.8066621881,40.6543792245
-73.8066621881,40.6543792245
-73.8075617992,40.6573929579
-73.8075617992,40.6573929579
-73.8075617992,40.6573929579
-73.8075617992,40.6573929579
-73.8075617992,40.6573929579
-73.8064176435,40.6585102450
-73.8064176435,40.6585102450
-73.8064176435,40.6585102450
-73.8064176435,40.6585102450
-73.8064176435,40.6585102450
-73.8064176435,40.6585102450
-73.8064176435,40.6585102450
-73.8052734952,40.6596273656
-73.8052734952,40.6596273656
-73.8052734952,40.6596273656
-73.8052734952,40.6596273656
-73.8052734952,40.6596273656
-73.8064176435,40.6585102450
-73.8064176435,40.6585102450
-73.8064176435,40.6585102450
-73.8064176435,40.6585102450
-73.8064176435,40.6585102450
-73.8064176435,40.6585102450
-73.8073171908,40.6615241366
-73.8073171908,40.6615241366
-73.8084613669,40.6604070143
-73.8084613669,40.6604070143
-73.8084613669,40.6604070143
-73.8096055504,40.6592897254
-73.8096055504,40.6592897254
-73.8096055504,40.6592897254
-73.8107497414,40.6581722699
-73.8107497414,40.6581722699
-73.8105050952,40.6623042698
-73.8105050952,40.6623042698
-73.8105050952,40.6623042698
-73.8105050952,40.6623042698
-73.8105050952,40.6623042698
-73.8116493066,40.6611869792
-73.8127935253,40.6600695219
-73.8136930676,40.6630847194
-73.8191696790,40.6616300640
-73.8191696790,40.6616300640
-73.8191696790,40.6616300640
-73.8191696790,40.6616300640
-73.8235021895,40.6612926805
-73.8235021895,40.6612926805
-73.8235021895,40.6612926805
-73.8235021895,40.6612926805
-73.8235021895,40.6612926805
-73.8235021895,40.6612926805
-73.8235021895,40.6612926805
-73.8235021895,40.6612926805
-73.8235021895,40.6612926805
-73.8235021895,40.6612926805
-73.8232573922,40.6654279686
-73.8232573922,40.6654279686
-73.8221130473,40.6665457661
-73.8221130473,40.6665457661
-73.8221130473,40.6665457661
-73.8232573922,40.6654279686
-73.8232573922,40.6654279686
-73.8232573922,40.6654279686
-73.8232573922,40.6654279686
-73.8232573922,40.6654279686
-73.8232573922,40.6654279686
-73.8244017445,40.6643100043
-73.8244017445,40.6643100043
-73.8244017445,40.6643100043
-73.8244017445,40.6643100043
-74.3322119726,40.6438157116
-74.3322119726,40.6438157116
-74.3301613742,40.6418555561
-74.3290120665,40.6430125856
-74.3269614988,40.6410529475
-74.3260601868,40.6379368038
-74.3176100958,40.6343764269
-74.3144104426,40.6335760403
-74.3059608991,40.6300207746
-74.3059608991,40.6300207746
-74.3050594744,40.6269095013
-74.3050594744,40.6269095013
-74.3050594744,40.6269095013
-74.3050594744,40.6269095013
-74.3050594744,40.6269095013
-74.3050594744,40.6269095013
-74.3039104698,40.6280657939
-74.3039104698,40.6280657939
-74.3039104698,40.6280657939
-74.3027614721,40.6292219084
-74.3016124813,40.6303778450
-74.2993145202,40.6326891842
-74.2981655499,40.6338445869
-74.2981655499,40.6338445869
-74.2949663260,40.6330453338
-74.2947186805,40.6373097284
-74.2938173971,40.6342003785
-74.2938173971,40.6342003785
-74.2926684751,40.6353552455
-74.2915195599,40.6365099348
-74.2903706517,40.6376644465
-74.2901229509,40.6419274291
-74.2892217503,40.6388187805
-74.2889740358,40.6430814102
