lng,lat
-74.15428,40.70719
-74.15406,40.70707
-74.1537,40.70682
-74.15354,40.70666
-74.15273,40.70575
-74.15258,40.70561
-74.15231,40.70544
-74.15214,40.7054
-74.15199,40.70538
-74.15182,40.70539
-74.15165,40.70543
-74.15151,40.70549
-74.1514,40.70557
-74.1513,40.70566
-74.15113,40.70587
-74.15097,40.70613
-74.15049,40.70726
-74.15028,40.70761
-74.14992,40.70811
-74.1493,40.70881
-74.14866,40.70939
-74.14799,40.70992
-74.14739,40.71032
-74.14662,40.71076
-74.14579,40.71118
-74.14537,40.71136
-74.14114,40.71298
-74.14052,40.71323
-74.13998,40.71347
-74.13888,40.71403
-74.13784,40.71462
-74.13735,40.71492
-74.13689,40.71522
-74.1365,40.7155
-74.13591,40.716
-74.13542,40.71652
-74.13517,40.7168
-74.13479,40.71735
-74.13463,40.71764
-74.13437,40.71822
-74.13421,40.71876
-74.13412,40.71923
-74.13355,40.72167
-74.13297,40.72324
-74.13233,40.72471
-74.13199,40.72521
-74.13138,40.72598
-74.13113,40.72625
-74.13061,40.72676
-74.13011,40.72719
-74.12674,40.72978
-74.1262,40.73022
-74.12579,40.73059
-74.12546,40.73092
-74.12517,40.73126
-74.12491,40.73158
-74.12466,40.73194
-74.12442,40.73232
-74.12405,40.73304
-74.1239,40.73341
-74.12377,40.73377
-74.12359,40.73445
-74.12349,40.73513
-74.12346,40.73547
-74.12331,40.73875
-74.12327,40.73914
-74.1232,40.73953
-74.1231,40.73996
-74.12298,40.74039
-74.12193,40.74352
-74.12175,40.74402
-74.12158,40.74445
-74.12121,40.74521
-74.12082,40.74589
-74.12015,40.74689
-74.11965,40.74752
-74.11938,40.74783
-74.11881,40.74843
-74.11787,40.74929
-74.11709,40.74991
-74.11624,40.75051
-74.11535,40.75105
-74.11313,40.7522
-74.11061,40.75342
-74.1081,40.75455
-74.10601,40.75541
-74.10577,40.7555
-74.10481,40.75583
-74.10397,40.75609
-74.10272,40.75641
-74.10181,40.75659
-74.10095,40.75673
-74.10006,40.75684
-74.0986,40.75694
-74.09056,40.75707
-74.08944,40.7571
-74.0886,40.75717
-74.08777,40.75727
-74.08684,40.75744
-74.08605,40.75763
-74.08485,40.75799
-74.08391,40.75836
-74.08297,40.75877
-74.08014,40.76015
-74.07818,40.76106
-74.07398,40.76296
-74.07026,40.76462
-74.06953,40.76495
-74.06859,40.76544
-74.0677,40.76594
-74.06646,40.76675
-74.06604,40.76706
-74.06526,40.76766
-74.06453,40.7683
-74.06383,40.76896
-74.0635,40.7693
-74.06288,40.77001
-74.06259,40.77036
-74.06208,40.77104
-74.06162,40.77172
-74.00823,40.71351
-74.00884,40.7138
-74.00668,40.71653
-74.00625,40.71708
-74.00753,40.71766
-74.00888,40.71827
-74.00869,40.71929
-74.00858,40.71996
-74.01191,40.72029
-74.01204,40.72031
-74.01097,40.72554
-74.01078,40.72677
-74.01008,40.73394
-74.00983,40.73694
-74.00979,40.73746
-74.00989,40.73851
-74.0099,40.73899
-74.00985,40.73929
-74.0098,40.73942
-74.00967,40.73971
-74.00928,40.74033
-74.00913,40.74065
-74.00906,40.74081
-74.00887,40.74154
-74.00871,40.74219
-74.00868,40.74235
-74.00837,40.74395
-74.00803,40.74588
-74.00773,40.7475
-74.00769,40.74775
-74.00762,40.74845
-74.00768,40.7487
-74.00777,40.74892
-74.00811,40.74959
-74.0082,40.7498
-74.00825,40.75003
-74.00827,40.75029
-74.00825,40.75055
-74.00699,40.75388
-74.00664,40.75442
-74.00336,40.75891
-73.97301,40.67601
-73.97161,40.67546
-73.97142,40.67575
-73.9719,40.67641
-73.97244,40.67716
-73.97234,40.67744
-73.96917,40.67678
-74.03806,40.74578
-74.03893,40.74289
-74.03934,40.74158
-74.0384,40.74142
-74.03746,40.74126
-74.03824,40.73872
-74.03878,40.73693
-74.03893,40.73693
-74.03974,40.73704
-74.03979,40.7369
-74.03964,40.73677
-74.03916,40.73685
-74.03881,40.73686
-74.03854,40.73684
-74.03864,40.73655
-74.03879,40.73571
-74.03943,40.73155
-74.03954,40.7308
-74.03791,40.73066
-74.03782,40.73065
-74.03789,40.73024
-74.03795,40.72999
-74.03797,40.72988
-74.03798,40.7298
-74.0368,40.7298
-74.03646,40.72977
-74.03613,40.72971
-74.03604,40.72969
-74.03222,40.72883
-73.79007,40.64681
-73.79092,40.64643
-73.79108,40.64631
-73.7912,40.64613
-73.79121,40.64597
-73.79116,40.64581
-73.79106,40.6457
-73.79094,40.64557
-73.79072,40.64542
-73.79057,40.64534
-73.7904,40.64527
-73.79022,40.64522
-73.78974,40.64522
-73.78916,40.64528
-73.78889,40.64534
-73.78855,40.64545
-73.78827,40.64558
-73.78818,40.6456
-73.788,40.64562
-73.78793,40.64561
-73.7878,40.64556
-73.78772,40.64545
-73.78771,40.64534
-73.78775,40.64524
-73.78784,40.64518
-73.78799,40.64513
-73.78984,40.64512
-73.79041,40.64509
-73.79124,40.64508
-73.79167,40.64506
-73.79193,40.64508
-73.79313,40.64494
-73.79412,40.64485
-73.79437,40.64481
